Total_area_contour,Total_perimeter_contour,area_hull,area_total,particles,perimeter_hull,perimeter_total,radius_circle,stickness
192.5,5.656854153,263.5,188.5,1000,62.39105773,91.98275506,11.52002907,0.001
1990.5,5.656854153,2478.5,1867,10000,186.2839408,336.2741661,34.79233932,0.01
2164.5,5.656854153,2808,2036,11000,198.9537127,354.0731556,36.66752243,0.01
2303,5.656854153,3037,2193.5,12000,206.7403233,398.600067,37.83196259,0.01
2489.5,5.656854153,3254,2348,13000,214.2659841,426.3574264,38.78573608,0.01
2682.5,5.656854153,3481,2530,14000,221.4656056,438.4995618,39.80129623,0.01
2844.5,7.656854153,3710,2687.5,15000,228.5567359,455.8549002,41.19480133,0.01
3001,9.071067691,3935.5,2850,16000,235.9844244,479.4112492,42.52656174,0.01
3149,7.656854153,4195,3009,17000,243.2626114,517.5533845,43.60498047,0.01
3324,5.656854153,4450.5,3175.5,18000,250.7156636,526.139171,45.04556656,0.01
3510.5,7.656854153,4689.5,3343.5,19000,256.9580823,527.1686085,46.03643417,0.01
445,5.656854153,584,419,2000,89.89371717,145.3380935,16.44698334,0.01
3698,5.656854153,4931.5,3523,20000,263.5154749,569.3523741,46.57699203,0.01
3843.5,5.656854153,5135.5,3678.5,21000,267.3337849,604.7077125,47.66348267,0.01
4019.5,11.89949477,5331,3844,22000,272.8448436,623.7787802,48.27508545,0.01
4237.5,11.07106769,5534,4033,23000,277.215323,625.0924885,48.71414948,0.01
4366,10.48528123,5746.5,4181.5,24000,282.3322906,623.678275,49.17967224,0.01
4527.5,7.656854153,5931,4328,25000,286.6526847,631.4356344,50.12244797,0.01
4611,5.656854153,6088,4441,26000,290.920141,659.9209156,50.85528564,0.01
4787,5.656854153,6311.5,4595.5,27000,297.3820801,706.1046811,52.05572891,0.01
4959.5,5.656854153,6524,4763.5,28000,302.1665308,706.447827,53.09236908,0.01
5143.5,5.656854153,6814.5,4930.5,29000,308.1031094,757.217379,54.2425499,0.01
623,9.656854153,849.5,583,3000,109.7316532,208.2497809,19.84137535,0.01
5402.5,5.656854153,7025,5139,30000,314.8897433,748.1463113,55.70415878,0.01
5519.5,5.656854153,7263.5,5276,31000,319.8398825,799.8864257,56.68577194,0.01
5846.5,5.656854153,7411,5530.5,32000,322.3513978,779.986931,56.79611588,0.01
6023.5,5.656854153,7672,5698.5,33000,327.5102628,784.6732227,57.92037964,0.01
6288.5,7.656854153,7958.5,5904.5,34000,333.2905557,771.8447956,59.13777542,0.01
6515.5,7.656854153,8271,6091,35000,342.5864879,793.7442904,62.00685883,0.01
6674.5,5.656854153,8452,6245.5,36000,347.6769165,819.4427747,63.42328262,0.01
6817.5,5.656854153,8702,6399,37000,353.0006582,840.5138423,63.91313553,0.01
6972.5,7.656854153,9123.5,6561.5,38000,363.1097196,891.1828891,65.96986389,0.01
7178.5,7.656854153,9354.5,6747,39000,366.8573321,915.5676651,66.57712555,0.01
863,5.656854153,1074,791,4000,124.3036115,197.2792184,23.18591118,0.01
7420,5.656854153,9599,6953.5,40000,370.080585,911.1828891,66.57980347,0.01
7516,5.656854153,10007,7087,41000,377.6448581,943.0823839,67.69747925,0.01
7678,5.656854153,10160.5,7253.5,42000,380.6384625,969.4671599,68.40140533,0.01
7863,7.656854153,10495.5,7433.5,43000,387.3246579,1013.751431,70.15067291,0.01
7983,5.656854153,10802.5,7578,44000,393.369971,1059.30778,71.30928802,0.01
8390,5.656854153,11019.5,7868,45000,397.9726412,1018.337217,72.63961792,0.01
8623,5.656854153,11268.5,8074.5,46000,402.3993897,1006.923004,73.2462616,0.01
8801,5.656854153,11485.5,8262.5,47000,406.3625932,998.0945765,74.70117188,0.01
9046,5.656854153,11826.5,8471.5,48000,410.432431,1015.55042,75.18653107,0.01
9218,5.656854153,12167.5,8639,49000,416.7521487,1056.621488,76.64375305,0.01
999.5,5.656854153,1312,939,5000,136.0331477,256.1909058,25.81191826,0.01
9385.5,5.656854153,12420,8812,50000,422.3827006,1079.59205,78.10259247,0.01
9589.5,5.656854153,12955,8982.5,51000,428.5804198,1151.089524,79.30961609,0.01
9778,5.656854153,13184.5,9153,52000,433.432601,1181.616436,80.16399384,0.01
9959.5,5.656854153,13611,9344,53000,436.8320341,1201.27329,80.42708588,0.01
10111.5,5.656854153,13843.5,9484,54000,439.1406788,1235.758571,80.42708588,0.01
10219,5.656854153,14035.5,9624,55000,442.6393118,1275.900706,80.91517639,0.01
10492.5,5.656854153,14286,9851.5,56000,447.1723093,1257.31492,81.78640747,0.01
10625.5,5.656854153,14608.5,10012,57000,451.8672228,1321.983967,82.38031769,0.01
10784,5.656854153,14910.5,10174,58000,457.8097281,1362.552508,83.91821289,0.01
11033.5,5.656854153,15154.5,10392.5,59000,461.2126387,1349.540316,84.03878021,0.01
1196,5.656854153,1523.5,1122,6000,147.4726657,285.6467495,27.45915985,0.01
11278,5.656854153,15416.5,10607,60000,464.4463816,1347.297675,84.54890442,0.01
11438,5.656854153,15605,10780,61000,467.6204789,1418.836779,85.51325226,0.01
11718.5,5.656854153,15839.5,10995.5,62000,471.4757042,1415.623576,85.64617157,0.01
11961.5,10.48528123,16190,11207,63000,475.2078451,1410.753519,86.04702759,0.01
12184,5.656854153,16523,11407,64000,478.1744877,1430.008352,86.70793915,0.01
